"year","month","day","pagecount_desktop_views","pagecount_mobile_views","pageview_desktop_views","pageview_mobile_views","pagecount_all_views","pageview_all_views","DATE"
"2008","01","01",4930902570,0,NA,NA,4930902570,NA,2008-01-01
"2008","02","01",4818393763,0,NA,NA,4818393763,NA,2008-02-01
"2008","03","01",4955405809,0,NA,NA,4955405809,NA,2008-03-01
"2008","04","01",5159162183,0,NA,NA,5159162183,NA,2008-04-01
"2008","05","01",5584691092,0,NA,NA,5584691092,NA,2008-05-01
"2008","06","01",5712104279,0,NA,NA,5712104279,NA,2008-06-01
"2008","07","01",5306302874,0,NA,NA,5306302874,NA,2008-07-01
"2008","08","01",5140155519,0,NA,NA,5140155519,NA,2008-08-01
"2008","09","01",5479533823,0,NA,NA,5479533823,NA,2008-09-01
"2008","10","01",5679440782,0,NA,NA,5679440782,NA,2008-10-01
"2008","11","01",5415832071,0,NA,NA,5415832071,NA,2008-11-01
"2008","12","01",5211708451,0,NA,NA,5211708451,NA,2008-12-01
"2009","01","01",5802681551,0,NA,NA,5802681551,NA,2009-01-01
"2009","02","01",5547320860,0,NA,NA,5547320860,NA,2009-02-01
"2009","03","01",6295159057,0,NA,NA,6295159057,NA,2009-03-01
"2009","04","01",5988817321,0,NA,NA,5988817321,NA,2009-04-01
"2009","05","01",6267516733,0,NA,NA,6267516733,NA,2009-05-01
"2009","06","01",5818924182,0,NA,NA,5818924182,NA,2009-06-01
"2009","07","01",5801646978,0,NA,NA,5801646978,NA,2009-07-01
"2009","08","01",5790850384,0,NA,NA,5790850384,NA,2009-08-01
"2009","09","01",4057515768,0,NA,NA,4057515768,NA,2009-09-01
"2009","10","01",6016107147,0,NA,NA,6016107147,NA,2009-10-01
"2009","11","01",5768486910,0,NA,NA,5768486910,NA,2009-11-01
"2009","12","01",5426505977,0,NA,NA,5426505977,NA,2009-12-01
"2010","01","01",5703465285,0,NA,NA,5703465285,NA,2010-01-01
"2010","02","01",5762451418,0,NA,NA,5762451418,NA,2010-02-01
"2010","03","01",6661347946,0,NA,NA,6661347946,NA,2010-03-01
"2010","04","01",6618552152,0,NA,NA,6618552152,NA,2010-04-01
"2010","05","01",6410578775,0,NA,NA,6410578775,NA,2010-05-01
"2010","06","01",4898035014,0,NA,NA,4898035014,NA,2010-06-01
"2010","07","01",5296177638,0,NA,NA,5296177638,NA,2010-07-01
"2010","08","01",7381346660,0,NA,NA,7381346660,NA,2010-08-01
"2010","09","01",7546488744,0,NA,NA,7546488744,NA,2010-09-01
"2010","10","01",10172844562,0,NA,NA,10172844562,NA,2010-10-01
"2010","11","01",6948678354,0,NA,NA,6948678354,NA,2010-11-01
"2010","12","01",7001952100,0,NA,NA,7001952100,NA,2010-12-01
"2011","01","01",7568511227,0,NA,NA,7568511227,NA,2011-01-01
"2011","02","01",6906248849,0,NA,NA,6906248849,NA,2011-02-01
"2011","03","01",7326545928,0,NA,NA,7326545928,NA,2011-03-01
"2011","04","01",6835492088,0,NA,NA,6835492088,NA,2011-04-01
"2011","05","01",7009799378,0,NA,NA,7009799378,NA,2011-05-01
"2011","06","01",6536675534,0,NA,NA,6536675534,NA,2011-06-01
"2011","07","01",6571730164,0,NA,NA,6571730164,NA,2011-07-01
"2011","08","01",6514500361,0,NA,NA,6514500361,NA,2011-08-01
"2011","09","01",5837738935,0,NA,NA,5837738935,NA,2011-09-01
"2011","10","01",6974424665,0,NA,NA,6974424665,NA,2011-10-01
"2011","11","01",7507641641,0,NA,NA,7507641641,NA,2011-11-01
"2011","12","01",6396357939,0,NA,NA,6396357939,NA,2011-12-01
"2012","01","01",7808477339,0,NA,NA,7808477339,NA,2012-01-01
"2012","02","01",7530127141,0,NA,NA,7530127141,NA,2012-02-01
"2012","03","01",7358543625,0,NA,NA,7358543625,NA,2012-03-01
"2012","04","01",7220029422,0,NA,NA,7220029422,NA,2012-04-01
"2012","05","01",7784479302,0,NA,NA,7784479302,NA,2012-05-01
"2012","06","01",7524265988,0,NA,NA,7524265988,NA,2012-06-01
"2012","07","01",7819376527,0,NA,NA,7819376527,NA,2012-07-01
"2012","08","01",7885641059,0,NA,NA,7885641059,NA,2012-08-01
"2012","09","01",7913689733,0,NA,NA,7913689733,NA,2012-09-01
"2012","10","01",8379960050,0,NA,NA,8379960050,NA,2012-10-01
"2012","11","01",8219987195,0,NA,NA,8219987195,NA,2012-11-01
"2012","12","01",8033826900,0,NA,NA,8033826900,NA,2012-12-01
"2013","01","01",9126210673,0,NA,NA,9126210673,NA,2013-01-01
"2013","02","01",8100597857,0,NA,NA,8100597857,NA,2013-02-01
"2013","03","01",8701419671,0,NA,NA,8701419671,NA,2013-03-01
"2013","04","01",8049296729,0,NA,NA,8049296729,NA,2013-04-01
"2013","05","01",8089099883,0,NA,NA,8089099883,NA,2013-05-01
"2013","06","01",7759959725,0,NA,NA,7759959725,NA,2013-06-01
"2013","07","01",8237301982,0,NA,NA,8237301982,NA,2013-07-01
"2013","08","01",9306122925,0,NA,NA,9306122925,NA,2013-08-01
"2013","09","01",9985326806,0,NA,NA,9985326806,NA,2013-09-01
"2013","10","01",10775158269,0,NA,NA,10775158269,NA,2013-10-01
"2013","11","01",10414877805,0,NA,NA,10414877805,NA,2013-11-01
"2013","12","01",7102459747,0,NA,NA,7102459747,NA,2013-12-01
"2014","01","01",7026531269,0,NA,NA,7026531269,NA,2014-01-01
"2014","02","01",6718243109,0,NA,NA,6718243109,NA,2014-02-01
"2014","03","01",7464128273,0,NA,NA,7464128273,NA,2014-03-01
"2014","04","01",7216245221,0,NA,NA,7216245221,NA,2014-04-01
"2014","05","01",7543277646,0,NA,NA,7543277646,NA,2014-05-01
"2014","06","01",6577352648,0,NA,NA,6577352648,NA,2014-06-01
"2014","07","01",6761059566,0,NA,NA,6761059566,NA,2014-07-01
"2014","08","01",6687313714,0,NA,NA,6687313714,NA,2014-08-01
"2014","09","01",7564600999,0,NA,NA,7564600999,NA,2014-09-01
"2014","10","01",6577533128,3091546685,NA,NA,9669079813,NA,2014-10-01
"2014","11","01",6153537606,3027489668,NA,NA,9181027274,NA,2014-11-01
"2014","12","01",5830332248,3278950021,NA,NA,9109282269,NA,2014-12-01
"2015","01","01",6103767055,3485302091,NA,NA,9589069146,NA,2015-01-01
"2015","02","01",5602710439,3091534479,NA,NA,8694244918,NA,2015-02-01
"2015","03","01",6346602713,3330832588,NA,NA,9677435301,NA,2015-03-01
"2015","04","01",6198945657,3222089917,NA,NA,9421035574,NA,2015-04-01
"2015","05","01",6323801814,3334069483,NA,NA,9657871297,NA,2015-05-01
"2015","06","01",5165413640,3038162463,NA,NA,8203576103,NA,2015-06-01
"2015","07","01",5229226022,3254472695,4376666686,3288755294,8483698717,7665421980,2015-07-01
"2015","08","01",5035534449,3268487582,4332482183,3302333038,8304022031,7634815221,2015-08-01
"2015","09","01",5409631355,3172429827,4485491704,3170203333,8582061182,7655695037,2015-09-01
"2015","10","01",5535704471,3246082505,4477532755,3268499132,8781786976,7746031887,2015-10-01
"2015","11","01",5296956116,3218234512,4287720220,3236601070,8515190628,7524321290,2015-11-01
"2015","12","01",5264446173,3387411863,4100012037,3376275307,8651858036,7476287344,2015-12-01
"2016","01","01",5569632502,3739628742,4436179457,3717836846,9309261244,8154016303,2016-01-01
"2016","02","01",5347709361,3333231392,4250997185,3334862272,8680940753,7585859457,2016-02-01
"2016","03","01",5407676056,3419853636,4286590426,3386684191,8827529692,7673274617,2016-03-01
"2016","04","01",5572235399,3301385124,4149383857,3258764002,8873620523,7408147859,2016-04-01
"2016","05","01",5330532334,3418435805,4191778094,3395033236,8748968139,7586811330,2016-05-01
"2016","06","01",4975092447,3372618063,3888839711,3354790945,8347710510,7243630656,2016-06-01
"2016","07","01",5363966439,3500661121,4337865827,3496573762,8864627560,7834439589,2016-07-01
"2016","08","01",NA,NA,4695046216,3515819303,NA,8210865519,2016-08-01
"2016","09","01",NA,NA,4135006498,3393285781,NA,7528292279,2016-09-01
"2016","10","01",NA,NA,4361737690,3509283891,NA,7871021581,2016-10-01
"2016","11","01",NA,NA,4392068236,3591044925,NA,7983113161,2016-11-01
"2016","12","01",NA,NA,4209608578,3776543855,NA,7986152433,2016-12-01
"2017","01","01",NA,NA,4521980398,4231961542,NA,8753941940,2017-01-01
"2017","02","01",NA,NA,4026702163,3711761399,NA,7738463562,2017-02-01
"2017","03","01",NA,NA,4319971902,3903493989,NA,8223465891,2017-03-01
"2017","04","01",NA,NA,3951456992,3639623119,NA,7591080111,2017-04-01
"2017","05","01",NA,NA,4187870579,3686687720,NA,7874558299,2017-05-01
"2017","06","01",NA,NA,3604550997,3519383193,NA,7123934190,2017-06-01
"2017","07","01",NA,NA,3565444544,3725059253,NA,7290503797,2017-07-01
"2017","08","01",NA,NA,3575572313,3621406302,NA,7196978615,2017-08-01
"2017","09","01",NA,NA,3547447892,3531604369,NA,7079052261,2017-09-01
